"id","movie_name","year","topics","writer","director","actors","official_site","movie_making_zone","IMDb","movie_rate","votes"
"27622447",小偷家族 万引き家族,"2018","剧情,家庭,犯罪",是枝裕和,"是,枝,裕,和","中川雅也,安藤樱,松冈茉优,城桧吏,佐佐木美结,树木希林,绪形直人,池松壮亮,森口瑶子,山田裕贵,片山萌美,柄本明,高良健吾,池胁千鹤,足立智充",, 日本, tt8075192,8.7,740974.0
"1292337",无人知晓 誰も知らない,"2004",剧情,是枝裕和,"是,枝,裕,和","柳乐优弥,北浦爱,木村飞影,清水萌萌子,韩英惠,江原由希子,串田和美,冈元夕纪子,楯隆子,加濑亮,村野友希,田中庆太,木村佑一,远藤宪一,寺岛进,平泉成",, 日本, tt0408664,9.1,275485.0
"25895901",海街日记 海街diary,"2015","剧情,家庭",是枝裕和,"是,枝,裕,和","绫濑遥,长泽雅美,夏帆,广濑铃,大竹忍,堤真一,加濑亮,风吹淳,中川雅也,前田旺志郎,铃木亮平,坂口健太郎,树木希林",, 日本, tt3756788,8.8,388466.0
"26694988",比海更深 海よりもまだ深く,"2016","剧情,家庭",是枝裕和,"是,枝,裕,和","阿部宽,真木阳子,小林聪美,树木希林,中川雅也,池松壮亮,桥爪功,中村友理,高桥和也,小泽征悦,峰村理惠,古馆宽治,叶山奖之,吉泽太阳",, 日本, tt5294966,8.8,175928.0
"30170448",何以为家 كفرناحوم,"2018",剧情,娜丁·拉巴基,"娜,丁,·,拉,巴,基","赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔,卡萨尔·艾尔·哈达德,法迪·尤瑟夫,海塔·塞德拉·伊扎姆,阿拉·乔什涅,娜丁·拉巴基,埃利亚斯·库利,努尔·艾尔·侯赛尼",, 黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国, tt8267604,9.1,923312.0
"25958717",海蒂和爷爷 Heidi,"2015","剧情,家庭,冒险",约翰娜·施皮里,"阿,兰,·,葛,斯,彭,纳","阿努克·斯特芬,布鲁诺·冈茨,昆林·艾格匹,安娜·申茨,伊莎贝尔·奥特曼,莉莲·奈福,彼得·杰克林,克里斯托夫·高格勒,丽贝卡·因德穆,莫妮卡·古布瑟,阿瑟·比勒,玛丽埃塔·耶米,彼得·洛迈尔,卡塔琳娜·舒特勒,杰拉·哈斯,迈克尔·克兰茨,劳拉·帕克,马库斯·赫林,马克西姆·梅米特,汉娜洛蕾·赫格",, 德国 / 瑞士, tt3700392,9.3,467164.0
"2222996",步履不停 歩いても 歩いても,"2008","剧情,家庭",是枝裕和,"是,枝,裕,和","阿部宽,夏川结衣,江原由希子,高桥和也,田中祥平,野本萤,林凌雅,寺岛进,加藤治子,树木希林,原田芳雄",, 日本, tt1087578,8.8,244928.0
"10571509",如父如子 そして父になる,"2013","剧情,家庭",是枝裕和,"是,枝,裕,和","福山雅治,尾野真千子,真木阳子,中川雅也,风吹淳,国村隼,树木希林,夏八木勋,井浦新,二宫庆多,黄升炫,足立智充",, 日本, tt2331143,8.7,134511.0
"1292329",牯岭街少年杀人事件 牯嶺街少年殺人事件,"1991","剧情,犯罪",杨德昌,"杨,德,昌","张震,杨静怡,张国柱,王启赞,林鸿铭,金燕玲,王琄,张翰,姜秀琼,赖梵耘,柯宇纶,谭志刚,冯国强,陈湘琪,金士杰",, 中国台湾, tt0101985,8.9,245593.0
"1291818",饮食男女 飲食男女,"1994","剧情,家庭",李安,"李,安","郎雄,杨贵媚,吴倩莲,王渝文,张艾嘉,归亚蕾,赵文瑄,陈昭荣,陈捷文,卢金城,唐语谦,洪其德,王瑞,杜满生,王玨,陈妤,左正芬,许敬民,聂卓晶,丁仲",, 中国台湾 / 美国, tt0111797,9.2,541630.0
"1291568",东京物语 東京物語,"1953","剧情,家庭",野田高梧,"小,津,安,二,郎","笠智众,原节子,杉村春子,东山千荣子,山村聪,香川京子",, 日本, tt0046438,9.1,123143.0
"1291875",阳光灿烂的日子,"1994","剧情,爱情",姜文,"姜,文","夏雨,宁静,陶虹,耿乐,斯琴高娃,冯小刚,刘小宁,姜文,王学圻,王朔,尚楠,方化,代少波,王海,姚二嘎,吴淑昆,左小青,韩冬,孙靖,刘斌,张维,杨彤林,王海,王福,胡贝贝,高保成,吴淑琨,张华,二勇,烈子,陈伟",, 中国大陆 / 中国香港, tt0111786,8.8,551101.0
"25814705",小森林 夏秋篇 リトル・フォレスト 夏・秋,"2014",剧情,森淳一,"森,淳,一","桥本爱,三浦贵大,松冈茉优,温水洋一,桐岛加恋",, 日本, tt3474600,9.0,379856.0
"4832288",奇迹 奇跡,"2011","剧情,家庭",是枝裕和,"是,枝,裕,和","前田航基,前田旺志郎,大塚宁宁,小田切让,夏川结衣,阿部宽,长泽雅美,原田芳雄,树木希林,桥爪功,桥本环奈,林凌雅,中村友理,内田伽罗",, 日本, tt1650453,8.8,63019.0
"1291583",天空之城 天空の城ラピュタ,"1986","动画,奇幻,冒险",宫崎骏,"宫,崎,骏","田中真弓,横泽启子,初井言荣,寺田农,常田富士男,永井一郎,糸博,鹫尾真知子,神山卓三,安原义人,槐柳二,鳕子",, 日本, tt0092067,9.1,739723.0
"26683290",你的名字。 君の名は。,"2016","剧情,爱情,动画",新海诚,"新,海,诚","神木隆之介,上白石萌音,长泽雅美,市原悦子,成田凌,悠木碧,岛崎信长,石川界人,谷花音,寺杣昌纪,大原沙耶香,井上和彦,茶风林,加藤有花,花泽香菜,寺崎裕香",, 日本, tt5311514,8.5,1239820.0
"1849031",当幸福来敲门 The Pursuit of Happyness,"2006","剧情,家庭,传记",斯蒂夫·康拉德,"加,布,里,埃,莱,·,穆,奇,诺","威尔·史密斯,贾登·史密斯,坦迪·牛顿,布莱恩·豪威 ,詹姆斯·凯伦,丹·卡斯泰兰尼塔,柯特·富勒,塔卡尤·费舍尔,凯文·韦斯特,乔治·张,戴维·迈克尔·西尔弗曼,多米尼克·博夫,杰弗·卡伦,乔伊芙·拉文,斯科特·克拉斯",, 美国, tt0454921,9.2,1366870.0
"1301753",狮子王 The Lion King,"1994","动画,歌舞,冒险",艾琳·梅琪,"罗,杰,·,阿,勒,斯","乔纳森·泰勒·托马斯,马修·布罗德里克,杰瑞米·艾恩斯,詹姆斯·厄尔·琼斯,莫伊拉·凯利,内森·连恩,尼基塔·卡兰姆,埃林·萨贝拉,乌比·戈德堡,罗温·艾金森",, 美国, tt0110357,9.1,743732.0
